algorithm,model,feature,metric,ss,pct_with_error,pct_without_error
algo1,Qwen,Beam Width,recall,1.1033402203856684,0.28120964539341553,0.622269547412852
algo1,Qwen,Beam vs Contrastive,recall,51.218363679407915,13.054085785871871,28.886491579969242
algo1,Qwen,Contrastive Penalty,recall,99.37161027892584,25.326961505075573,56.044296955239226
algo1,Qwen,Counterexample,recall,0.39340220385674957,0.10026689157119184,0.22187373107778888
algo1,Qwen,Counterexample & Array/List,recall,0.5930612947658436,0.15115424355632331,0.3344788639654807
algo1,Qwen,Counterexample & Beam Width,recall,0.08437499999999987,0.021504757455298507,0.047586403624991336
algo1,Qwen,Counterexample & Beam vs Contrastive,recall,0.2679504562672186,0.06829285418741468,0.15112057556660707
algo1,Qwen,Counterexample & Contrastive Penalty,recall,0.30265366735537175,0.07713770322291999,0.17069273568422644
algo1,Qwen,Counterexample & Greedy vs Beam/Contrastive,recall,0.02621405819559223,0.006681208455292346,0.014784388194897372
algo1,Qwen,Counterexample & Tag/Adjacency,recall,0.005237603305785124,0.001334914236894565,0.0029539402066569506
algo1,Qwen,Error,recall,215.0459917355368,54.80902985489603,0.0
algo1,Qwen,Example,recall,0.07851584022038546,0.020011426374380598,0.044281913643645594
algo1,Qwen,Example & Array/List,recall,0.19505509641873325,0.049713926387019006,0.1100085398197743
algo1,Qwen,Example & Beam Width,recall,1.0485623278236933,0.2672483382116949,0.5913755277958972
algo1,Qwen,Example & Beam vs Contrastive,recall,0.014231448002754778,0.0036271862226599618,0.008026351749062716
algo1,Qwen,Example & Contrastive Penalty,recall,0.1748127582644624,0.044554737381558504,0.09859212413120902
algo1,Qwen,Example & Counterexample,recall,2.0469731404958673,0.521714499601474,1.1544662527188454
algo1,Qwen,Example & Greedy vs Beam/Contrastive,recall,0.05752604166666685,0.014661731240356364,0.032443940002347633
algo1,Qwen,Example & Tag/Adjacency,recall,1.6585261707988974,0.4227105545042409,0.9353872093184921
algo1,Qwen,Explanation,recall,0.29764462809917386,0.07586104337949949,0.16786770263155845
algo1,Qwen,Explanation & Array/List,recall,0.30375000000000013,0.07741712683907477,0.17131105304996913
algo1,Qwen,Explanation & Beam Width,recall,0.062198691460055175,0.015852655097901455,0.03507925376906064
algo1,Qwen,Explanation & Beam vs Contrastive,recall,0.01473075929752082,0.0037544462912660046,0.008307956831222763
algo1,Qwen,Explanation & Contrastive Penalty,recall,1.6856598657024824,0.4296261518703762,0.9506902606668697
algo1,Qwen,Explanation & Counterexample,recall,0.06183195592286496,0.01575918477164943,0.03487241969147413
algo1,Qwen,Explanation & Example,recall,0.003750000000000008,0.0009557669980132705,0.002114951272221845
algo1,Qwen,Explanation & Greedy vs Beam/Contrastive,recall,0.07415827307162536,0.01890080800840415,0.04182430239429565
algo1,Qwen,Explanation & Tag/Adjacency,recall,0.01835055096418732,0.004677026935181547,0.010349472295381251
algo1,Qwen,Greedy vs Beam/Contrastive,recall,8.659101454889818,2.2069555741419644,4.883620703551256
algo1,Qwen,Tag/Adjacency,recall,0.09835055096418718,0.025066722892797905,0.0554684327694471
algo1,Qwen,Tag/Adjacency & Beam Width,recall,0.06367079889807156,0.016227852886377698,0.03590950323542864
algo1,Qwen,Tag/Adjacency & Beam vs Contrastive,recall,0.6631209108126721,0.16901042193260052,0.37399157705604436
algo1,Qwen,Tag/Adjacency & Contrastive Penalty,recall,0.09044636707988964,0.023052174065373923,0.05101057576625497
algo1,Qwen,Tag/Adjacency & Greedy vs Beam/Contrastive,recall,0.07066309400826412,0.018009987528162123,0.03985306681917592
algo2,Mistral,Array/List,accuracy,2.089019025482091,0.24428366917850294,0.44383676919241494
algo2,Mistral,Array/List & Beam Width,accuracy,1.4781163911845718,0.17284653280174256,0.3140432880463186
algo2,Mistral,Array/List & Beam vs Contrastive,accuracy,2.4871405819559196,0.29083881942278544,0.5284223968079517
algo2,Mistral,Array/List & Contrastive Penalty,accuracy,2.8171530647382874,0.3294294972411361,0.5985374471567593
algo2,Mistral,Array/List & Convergence,accuracy,0.10208720730027585,0.011937774271702834,0.021689633129872703
algo2,Mistral,Array/List & Greedy vs Beam/Contrastive,accuracy,0.2693186122589519,0.03149331718771525,0.057219920589671375
