source_input,Example,metric,n,mean,sample_std,median,min,max,ci95_low,ci95_high
data/results/algo2/gpt-5/evaluated/metrics_sg1_sg2.csv,-1,precision,160,0.411432963803905,0.11029367352125448,0.3988095238095238,0.1818181818181818,0.625,0.39434278203203077,0.4285231455757792
data/results/algo2/gpt-5/evaluated/metrics_sg1_sg2.csv,1,precision,160,0.3842956189513204,0.12460414118552554,0.3706521739130435,0.1777777777777777,0.625,0.36498800724158315,0.4036032306610577
data/results/algo2/gpt-5/evaluated/metrics_sg1_sg2.csv,-1,recall,160,0.33223684210526316,0.08598500734534616,0.3157894736842105,0.1578947368421052,0.5263157894736842,0.3189133271812207,0.34556035702930565
data/results/algo2/gpt-5/evaluated/metrics_sg1_sg2.csv,1,recall,160,0.36184210526315785,0.09458408369071025,0.3684210526315789,0.1578947368421052,0.5789473684210527,0.34718614965488903,0.3764980608714267
data/results/algo2/gpt-5/evaluated/metrics_sg2_sg3.csv,-1,accuracy,160,0.8976328903654485,0.004907060838667075,0.8986710963455149,0.8803986710963455,0.9053156146179402,0.8968725334109555,0.8983932473199414
data/results/algo2/gpt-5/evaluated/metrics_sg2_sg3.csv,1,accuracy,160,0.8963870431893687,0.005753567597469629,0.8970099667774086,0.8687707641196013,0.903654485049834,0.8954955186536611,0.8972785677250763
data/results/algo2/gpt-5/evaluated/metrics_sg2_sg3.csv,-1,precision,160,0.35064917264752793,0.12983739213709175,0.3875,0.0,0.625,0.33053066030165523,0.3707676849934006
data/results/algo2/gpt-5/evaluated/metrics_sg2_sg3.csv,1,precision,160,0.3123340201465201,0.10699445917595163,0.3205128205128205,0.1428571428571428,0.5714285714285714,0.2957550569338386,0.32891298335920166
data/results/algo2/gpt-5/evaluated/metrics_sg2_sg3.csv,-1,recall,160,0.044491525423728764,0.024325124871051162,0.0338983050847457,0.0,0.1186440677966101,0.04072230827466273,0.0482607425727948
data/results/algo2/gpt-5/evaluated/metrics_sg2_sg3.csv,1,recall,160,0.043432203389830455,0.018979500406551646,0.0338983050847457,0.0169491525423728,0.0847457627118644,0.040491299333127506,0.046373107446533404
data/results/algo2/gpt-5/evaluated/metrics_sg3_sg1.csv,-1,accuracy,160,0.9370044926004228,0.009897369443452033,0.9392177589852008,0.912262156448203,0.9503171247357294,0.9354708793164352,0.9385381058844104
data/results/algo2/gpt-5/evaluated/metrics_sg3_sg1.csv,1,accuracy,160,0.9372357293868921,0.007190770644940839,0.937632135306554,0.9164904862579282,0.9482029598308668,0.9361215079317675,0.9383499508420168
data/results/algo2/gpt-5/evaluated/metrics_sg3_sg1.csv,-1,precision,160,0.3657939463534502,0.1557234880371784,0.34848484848484845,0.0714285714285714,0.6923076923076923,0.3416643418916603,0.3899235508152401
